Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,AAPL,MSFT,NVDA,VFV.TO,AAPL,MSFT,NVDA,VFV.TO,AAPL,MSFT,NVDA,VFV.TO,AAPL,MSFT,NVDA,VFV.TO,AAPL,MSFT,NVDA,VFV.TO
Date,,,,,,,,,,,,,,,,,,,,
2025-01-02,242.0931396484375,412.8952941894531,137.9493865966797,147.7017822265625,247.3053149666319,420.2835937285398,138.51790776015002,149.65314781698746,240.07776640397734,409.21597020748925,134.2789886408903,146.77537907438744,247.1365264348607,419.7509189849473,135.64541181631114,149.10123686821828,55740700.0,16896500.0,198247200.0,884500.0
2025-01-03,241.60667419433594,417.6005859375,144.0933074951172,150.04736328125,242.42075849453866,418.27134378737713,144.52217900012494,150.1951871805982,240.147263834766,413.8423310893823,139.36566117903786,148.4310901502181,241.60667419433594,415.3613950253171,139.64492988439244,148.6084788294359,40244100.0,16662900.0,229322500.0,388900.0
2025-01-06,243.23483276367188,422.03948974609375,149.04037475585938,149.5742950439453,245.54804748087855,428.42162361284306,151.7632676182901,151.17085313056796,241.4477983095151,419.7016808979234,147.43458721714921,149.2687823274222,242.54980162717402,422.1874466156374,148.2025685915748,150.19517038983474,45045600.0,20573600.0,265377400.0,483300.0
2025-01-07,240.46493530273438,416.63385009765625,139.77459716796875,148.27337646484375,243.78086767976055,424.80139942668757,152.73073241075815,150.23459174992303,239.6111308132576,415.0851648128758,139.6449312609891,147.86930449025394,241.22937670987722,423.1738138555601,152.63098706400407,150.20502697500513,40856000.0,18139100.0,351782200.0,431500.0
2025-01-08,240.951416015625,418.7940979003906,139.74468994140625,148.736572265625,241.9541489627904,421.17137158470763,143.57467420574872,148.9041109963905,238.32051453305579,415.8151230042094,137.20133554653654,147.76088961677866,240.17703689438372,417.70903085107875,142.20825109505992,148.69715757992924,37628900.0,15054600.0,227349900.0,442200.0
2025-01-09,,,,148.57888793945312,,,,149.06180432252077,,,,148.53947325256556,,,,148.60845271412728,,,,262100.0
2025-01-10,235.14356994628906,413.26031494140625,135.55563354492188,146.8936309814453,238.4297199246896,418.94206877538755,139.55517244006612,148.35221495866097,231.32130202918376,409.3836648034606,133.870037595658,146.40086470176118,238.28079154222544,418.86316848876044,137.09161147098868,147.8692985908785,61710900.0,20201100.0,207602500.0,568300.0
2025-01-13,232.71121215820312,411.52423095703125,132.8826141357422,146.86407470703125,232.9792711307645,412.8164377086338,133.1419459563911,146.95276903337927,228.06493742769467,406.690782868284,129.17231238202828,145.45475524579706,231.84748509521594,409.6007014640922,129.6510717959939,145.6518587614708,49630700.0,17604800.0,204808900.0,348400.0
2025-01-14,231.5992889404297,410.0248718261719,131.4164581298828,146.64727783203125,234.41882398797216,414.03957499111027,136.02442280388445,147.62294564099554,230.79512716232853,405.14208486737954,129.71092511662002,145.85884861569048,233.05869925952226,412.1357932076061,135.6952813829554,147.56381608142638,39435300.0,16935900.0,195590500.0,302300.0
2025-01-15,236.15621948242188,420.5203552246094,135.88479614257812,148.99282836914062,237.2383779015073,422.3353628905166,136.09424010113995,149.26879136384034,232.74100113522098,412.58953664498,130.94768976753863,148.0270105208169,232.94949481929564,413.43787278736687,133.30153730793728,148.21426414241796,39832000.0,19637800.0,185217300.0,246400.0
2025-01-16,226.6154327392578,418.8138122558594,133.22174072265625,149.3870391845703,236.29518618874627,423.6571336957602,138.38822723428095,150.01777947184166,226.38709407905125,418.6264203199314,133.14194748607855,149.18007071369996,235.63995285298606,422.87788427352234,138.2785134363621,149.80096108827638,71759100.0,15300000.0,209235600.0,237100.0
2025-01-17,228.32305908203125,423.2033996582031,137.3509521484375,151.67347717285156,230.6164138035219,428.579395977241,138.13888566634566,151.89029557083512,226.833866130533,422.35509365285844,135.10681862678206,150.58940022096942,230.44764042021458,428.1946780656617,136.33360735729912,151.25955524161995,68488300.0,26197500.0,201188800.0,427500.0
2025-01-20,,,,151.67347717285156,,,,153.50656860432622,,,,150.36273190963595,,,,151.67347717285156,,,,443400.0
2025-01-21,221.03591918945312,422.68060302734375,140.4628143310547,151.5650634765625,222.80309340530198,425.0480029513297,141.4602070208564,152.2647982925713,217.79941234276583,419.819993531564,136.7325601923546,151.0033176715721,222.38612124582832,424.35752761269225,138.79717036536638,152.1761039609468,98070400.0,26085700.0,197749000.0,393700.0
